Year,UnemploymentRate
2000,4.745454545454546
2001,5.054545454545455
2002,5.3545454545454545
2003,5.2272727272727275
2004,4.736363636363636
2005,4.418181818181818
2006,4.118181818181818
2007,3.8363636363636364
2008,3.9818181818181815
2009,5.072727272727272
2010,5.054545454545455
2011,4.581818181818182
2012,4.318181818181818
2013,4.0
2014,3.5818181818181816
2015,3.3818181818181823
2016,3.1
2017,2.8000000000000003
2018,2.4545454545454546
2019,2.3636363636363638
2020,2.8000000000000003
2021,2.809090909090909
2022,2.590909090909091
2023,2.581818181818182
2024,2.5272727272727273
2025,2.4714285714285715
